key,value
intimate_type,
auth_intimatenum,1
black_intimatenum,0
auth_intimatenum_ratio,0.14
black_intimate_indirectnum,0
auth_intimate_indirectnum,0
auth_intimate_indirect_peernum_ratio,0.00
intimatenum,7
black_intimatenum_ratio,0.00
black_intimate_indirect_peernum_ratio,0.00
auth_intimate_indirect_peernum,0
auth_intimate_indirectnum_ratio,0.00
black_intimate_indirect_peernum,0
black_intimate_indirectnum_ratio,0.00
intimate_type,
auth_intimatenum,1
black_intimatenum,0
auth_intimatenum_ratio,0.08
black_intimate_indirectnum,0
auth_intimate_indirectnum,0
auth_intimate_indirect_peernum_ratio,0.00
intimatenum,13
black_intimatenum_ratio,0.00
black_intimate_indirect_peernum_ratio,0.00
auth_intimate_indirect_peernum,0
auth_intimate_indirectnum_ratio,0.00
black_intimate_indirect_peernum,0
black_intimate_indirectnum_ratio,0.00
intimate_type,
auth_intimatenum,1
black_intimatenum,0
auth_intimatenum_ratio,0.06
black_intimate_indirectnum,0
auth_intimate_indirectnum,5
auth_intimate_indirect_peernum_ratio,0.06
intimatenum,17
black_intimatenum_ratio,0.00
black_intimate_indirect_peernum_ratio,0.00
auth_intimate_indirect_peernum,1
auth_intimate_indirectnum_ratio,0.28
black_intimate_indirect_peernum,0
black_intimate_indirectnum_ratio,0.00
match_score,100
auth_indirect_peernum,1
auth_indirect_peernum_ratio,0.01
auth_contact_ratio,0.01
contact_type,
black_indirect_peernum_ratio,0.00
black_indirect_peernum,0
auth_indirectnum_ratio,0.33
black_contactnum,0
contactnum,120
black_indirectnum,0
black_indirectnum_ratio,0.00
black_contactnum_ratio,0.00
auth_indirectnum,8
auth_contactnum,1
auth_indirect_peernum,0
auth_indirect_peernum_ratio,0.00
auth_contact_ratio,0.03
contact_type,
black_indirect_peernum_ratio,0.00
black_indirect_peernum,0
auth_indirectnum_ratio,0.00
black_contactnum,0
contactnum,30
black_indirectnum,0
black_indirectnum_ratio,0.00
black_contactnum_ratio,0.00
auth_indirectnum,0
auth_contactnum,1
auth_indirect_peernum,0
auth_indirect_peernum_ratio,0.00
auth_contact_ratio,0.01
contact_type,
black_indirect_peernum_ratio,0.00
black_indirect_peernum,0
auth_indirectnum_ratio,0.00
black_contactnum,0
contactnum,70
black_indirectnum,0
black_indirectnum_ratio,0.00
black_contactnum_ratio,0.00
auth_indirectnum,0
auth_contactnum,1
